# Temperature (C)	Pressure (bar)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-100.00	1.5759	0.49780	5.7966	6.4863	37.496	2887.3	0.00034634	0.35637	0.36354	2.1352	21.289	44.876	620.14	-0.059488	438.65	0.067736	15.012	0.066612	11.285	12.663	73.170	13.735	23.759	131.68	5.4642	14.251	0.0033751
-99.500	1.6171	0.50982	5.9409	6.6486	38.328	2883.9	0.00034675	0.37873	0.38609	2.2642	21.258	44.901	618.71	-0.059276	435.68	0.067548	15.373	0.065049	11.289	12.670	73.002	13.755	23.812	131.81	5.4267	14.289	0.0033865
-99.000	1.6591	0.52206	6.0870	6.8131	39.168	2880.5	0.00034717	0.40110	0.40866	2.3929	21.228	44.927	617.28	-0.059061	432.73	0.067359	15.740	0.063531	11.292	12.676	72.835	13.775	23.865	131.93	5.3896	14.327	0.0033980
-98.500	1.7020	0.53453	6.2351	6.9799	40.017	2877.0	0.00034758	0.42348	0.43124	2.5212	21.197	44.953	615.85	-0.058844	429.81	0.067170	16.114	0.062058	11.296	12.683	72.669	13.795	23.919	132.06	5.3529	14.366	0.0034095
-98.000	1.7457	0.54721	6.3851	7.1491	40.875	2873.6	0.00034800	0.44587	0.45384	2.6493	21.167	44.980	614.42	-0.058623	426.91	0.066981	16.494	0.060627	11.299	12.689	72.505	13.815	23.974	132.19	5.3166	14.404	0.0034210
-97.500	1.7903	0.56012	6.5371	7.3206	41.742	2870.1	0.00034841	0.46827	0.47646	2.7771	21.137	45.008	612.98	-0.058399	424.04	0.066791	16.881	0.059237	11.303	12.695	72.341	13.835	24.029	132.31	5.2806	14.442	0.0034326
-97.000	1.8357	0.57327	6.6910	7.4944	42.617	2866.7	0.00034883	0.49068	0.49909	2.9045	21.108	45.036	611.54	-0.058173	421.20	0.066602	17.275	0.057887	11.306	12.702	72.178	13.856	24.085	132.44	5.2451	14.481	0.0034442
-96.500	1.8820	0.58664	6.8470	7.6706	43.501	2863.2	0.00034926	0.51310	0.52173	3.0317	21.078	45.065	610.10	-0.057943	418.38	0.066412	17.676	0.056575	11.310	12.708	72.016	13.877	24.142	132.56	5.2099	14.519	0.0034558
-96.000	1.9292	0.60025	7.0049	7.8492	44.394	2859.8	0.00034968	0.53554	0.54440	3.1586	21.049	45.094	608.66	-0.057711	415.58	0.066222	18.083	0.055300	11.313	12.714	71.855	13.898	24.199	132.68	5.1751	14.558	0.0034675
-95.500	1.9772	0.61410	7.1649	8.0302	45.296	2856.3	0.00035010	0.55799	0.56708	3.2852	21.019	45.125	607.22	-0.057475	412.80	0.066032	18.498	0.054060	11.317	12.720	71.695	13.919	24.257	132.81	5.1407	14.597	0.0034792
-95.000	2.0262	0.62819	7.3269	8.2137	46.206	2852.8	0.00035053	0.58045	0.58977	3.4115	20.990	45.155	605.78	-0.057236	410.05	0.065842	18.920	0.052855	11.320	12.726	71.536	13.940	24.316	132.93	5.1066	14.636	0.0034910
-94.500	2.0760	0.64252	7.4910	8.3996	47.126	2849.3	0.00035096	0.60292	0.61249	3.5375	20.962	45.187	604.34	-0.056994	407.33	0.065652	19.348	0.051684	11.323	12.732	71.378	13.961	24.375	133.05	5.0728	14.675	0.0035028
-94.000	2.1268	0.65709	7.6572	8.5880	48.055	2845.8	0.00035139	0.62541	0.63522	3.6633	20.933	45.218	602.89	-0.056750	404.62	0.065461	19.784	0.050545	11.327	12.738	71.221	13.983	24.435	133.16	5.0394	14.714	0.0035146
-93.500	2.1786	0.67192	7.8254	8.7788	48.993	2842.3	0.00035182	0.64790	0.65797	3.7888	20.904	45.251	601.44	-0.056502	401.94	0.065271	20.228	0.049437	11.330	12.744	71.064	14.005	24.496	133.28	5.0064	14.753	0.0035265
