# Temperature (C)	Pressure (bar)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-100.00	1.5759	0.29659	3.5977	4.0115	23.203	2887.3	0.00034634	0.35637	0.36354	2.1352	21.289	44.876	620.14	-0.059488	438.65	0.067736	15.012	0.066612	11.285	12.663	73.170	13.735	23.759	131.68	5.4642	14.251	0.0033751
-99.500	1.6171	0.30375	3.6926	4.1172	23.751	2883.9	0.00034675	0.37873	0.38609	2.2642	21.258	44.901	618.71	-0.059276	435.68	0.067548	15.373	0.065049	11.289	12.670	73.002	13.755	23.812	131.81	5.4267	14.289	0.0033865
-99.000	1.6591	0.31104	3.7887	4.2244	24.303	2880.5	0.00034717	0.40110	0.40866	2.3929	21.228	44.927	617.28	-0.059061	432.73	0.067359	15.740	0.063531	11.292	12.676	72.835	13.775	23.865	131.93	5.3896	14.327	0.0033980
-98.500	1.7020	0.31846	3.8859	4.3329	24.861	2877.0	0.00034758	0.42348	0.43124	2.5212	21.197	44.953	615.85	-0.058844	429.81	0.067170	16.114	0.062058	11.296	12.683	72.669	13.795	23.919	132.06	5.3529	14.366	0.0034095
-98.000	1.7457	0.32602	3.9843	4.4427	25.423	2873.6	0.00034800	0.44587	0.45384	2.6493	21.167	44.980	614.42	-0.058623	426.91	0.066981	16.494	0.060627	11.299	12.689	72.505	13.815	23.974	132.19	5.3166	14.404	0.0034210
-97.500	1.7903	0.33371	4.0839	4.5540	25.991	2870.1	0.00034841	0.46827	0.47646	2.7771	21.137	45.008	612.98	-0.058399	424.04	0.066791	16.881	0.059237	11.303	12.695	72.341	13.835	24.029	132.31	5.2806	14.442	0.0034326
-97.000	1.8357	0.34154	4.1847	4.6667	26.564	2866.7	0.00034883	0.49068	0.49909	2.9045	21.108	45.036	611.54	-0.058173	421.20	0.066602	17.275	0.057887	11.306	12.702	72.178	13.856	24.085	132.44	5.2451	14.481	0.0034442
-96.500	1.8820	0.34950	4.2866	4.7808	27.142	2863.2	0.00034926	0.51310	0.52173	3.0317	21.078	45.065	610.10	-0.057943	418.38	0.066412	17.676	0.056575	11.310	12.708	72.016	13.877	24.142	132.56	5.2099	14.519	0.0034558
-96.000	1.9292	0.35760	4.3897	4.8963	27.725	2859.8	0.00034968	0.53554	0.54440	3.1586	21.049	45.094	608.66	-0.057711	415.58	0.066222	18.083	0.055300	11.313	12.714	71.855	13.898	24.199	132.68	5.1751	14.558	0.0034675
-95.500	1.9772	0.36585	4.4941	5.0133	28.313	2856.3	0.00035010	0.55799	0.56708	3.2852	21.019	45.125	607.22	-0.057475	412.80	0.066032	18.498	0.054060	11.317	12.720	71.695	13.919	24.257	132.81	5.1407	14.597	0.0034792
-95.000	2.0262	0.37424	4.5997	5.1317	28.907	2852.8	0.00035053	0.58045	0.58977	3.4115	20.990	45.155	605.78	-0.057236	410.05	0.065842	18.920	0.052855	11.320	12.726	71.536	13.940	24.316	132.93	5.1066	14.636	0.0034910
-94.500	2.0760	0.38278	4.7065	5.2516	29.505	2849.3	0.00035096	0.60292	0.61249	3.5375	20.962	45.187	604.34	-0.056994	407.33	0.065652	19.348	0.051684	11.323	12.732	71.378	13.961	24.375	133.05	5.0728	14.675	0.0035028
-94.000	2.1268	0.39146	4.8145	5.3730	30.109	2845.8	0.00035139	0.62541	0.63522	3.6633	20.933	45.218	602.89	-0.056750	404.62	0.065461	19.784	0.050545	11.327	12.738	71.221	13.983	24.435	133.16	5.0394	14.714	0.0035146
-93.500	2.1786	0.40029	4.9238	5.4958	30.718	2842.3	0.00035182	0.64790	0.65797	3.7888	20.904	45.251	601.44	-0.056502	401.94	0.065271	20.228	0.049437	11.330	12.744	71.064	14.005	24.496	133.28	5.0064	14.753	0.0035265
-93.000	2.2312	0.40927	5.0343	5.6202	31.333	2838.8	0.00035226	0.67042	0.68074	3.9140	20.876	45.284	599.99	-0.056250	399.28	0.065080	20.678	0.048360	11.333	12.750	70.909	14.026	24.558	133.40	4.9737	14.792	0.0035384
-92.500	2.2848	0.41840	5.1461	5.7461	31.952	2835.3	0.00035269	0.69294	0.70352	4.0389	20.848	45.318	598.54	-0.055996	396.64	0.064890	21.137	0.047311	11.336	12.756	70.754	14.048	24.620	133.51	4.9413	14.832	0.0035504
-92.000	2.3394	0.42768	5.2591	5.8734	32.577	2831.8	0.00035313	0.71548	0.72633	4.1636	20.820	45.353	597.09	-0.055738	394.02	0.064699	21.602	0.046291	11.339	12.761	70.600	14.071	24.683	133.63	4.9092	14.871	0.0035624
-91.500	2.3950	0.43712	5.3735	6.0024	33.207	2828.3	0.00035357	0.73804	0.74915	4.2880	20.792	45.388	595.64	-0.055477	391.43	0.064508	22.076	0.045298	11.342	12.767	70.447	14.093	24.747	133.74	4.8775	14.911	0.0035744
-91.000	2.4516	0.44672	5.4891	6.1329	33.843	2824.8	0.00035401	0.76060	0.77200	4.4122	20.764	45.423	594.18	-0.055213	388.85	0.064317	22.557	0.044332	11.346	12.772	70.295	14.116	24.811	133.85	4.8461	14.951	0.0035865
-90.500	2.5091	0.45648	5.6060	6.2649	34.484	2821.2	0.00035446	0.78319	0.79486	4.5360	20.737	45.460	592.72	-0.054946	386.30	0.064127	23.046	0.043392	11.349	12.778	70.143	14.138	24.877	133.96	4.8150	14.991	0.0035986
-90.000	2.5677	0.46639	5.7243	6.3985	35.131	2817.7	0.00035490	0.80578	0.81775	4.6597	20.709	45.497	591.26	-0.054675	383.77	0.063936	23.543	0.042476	11.352	12.783	69.992	14.161	24.943	134.07	4.7842	15.031	0.0036108
