# Temperature (C)	Pressure (bar)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
23.500	7.2197	undefined	12.765	15.134	71.816	40.000	0.025000	12.765	15.134	71.816	12.919	22.625	174.17	1.8169	23.364	0.0057439	40.000	0.025000	12.765	15.134	71.816	12.919	22.625	174.17	1.8169	23.364	0.0057439
24.000	7.2329	undefined	12.771	15.145	71.838	40.000	0.025000	12.771	15.145	71.838	12.916	22.618	174.33	1.8115	23.400	0.0057525	40.000	0.025000	12.771	15.145	71.838	12.916	22.618	174.33	1.8115	23.400	0.0057525
24.500	7.2460	undefined	12.778	15.156	71.859	40.000	0.025000	12.778	15.156	71.859	12.914	22.611	174.49	1.8061	23.436	0.0057611	40.000	0.025000	12.778	15.156	71.859	12.914	22.611	174.49	1.8061	23.436	0.0057611
25.000	7.2592	undefined	12.784	15.167	71.881	40.000	0.025000	12.784	15.167	71.881	12.911	22.604	174.65	1.8007	23.471	0.0057697	40.000	0.025000	12.784	15.167	71.881	12.911	22.604	174.65	1.8007	23.471	0.0057697
25.500	7.2723	undefined	12.790	15.177	71.903	40.000	0.025000	12.790	15.177	71.903	12.909	22.598	174.81	1.7953	23.507	0.0057783	40.000	0.025000	12.790	15.177	71.903	12.909	22.598	174.81	1.7953	23.507	0.0057783
26.000	7.2854	undefined	12.797	15.188	71.924	40.000	0.025000	12.797	15.188	71.924	12.906	22.591	174.97	1.7900	23.543	0.0057869	40.000	0.025000	12.797	15.188	71.924	12.906	22.591	174.97	1.7900	23.543	0.0057869
26.500	7.2986	undefined	12.803	15.199	71.946	40.000	0.025000	12.803	15.199	71.946	12.904	22.584	175.13	1.7847	23.579	0.0057954	40.000	0.025000	12.803	15.199	71.946	12.904	22.584	175.13	1.7847	23.579	0.0057954
27.000	7.3117	undefined	12.810	15.210	71.967	40.000	0.025000	12.810	15.210	71.967	12.902	22.578	175.29	1.7795	23.614	0.0058040	40.000	0.025000	12.810	15.210	71.967	12.902	22.578	175.29	1.7795	23.614	0.0058040
27.500	7.3248	undefined	12.816	15.220	71.989	40.000	0.025000	12.816	15.220	71.989	12.899	22.571	175.45	1.7742	23.650	0.0058126	40.000	0.025000	12.816	15.220	71.989	12.899	22.571	175.45	1.7742	23.650	0.0058126
28.000	7.3380	undefined	12.823	15.231	72.010	40.000	0.025000	12.823	15.231	72.010	12.897	22.565	175.61	1.7690	23.686	0.0058211	40.000	0.025000	12.823	15.231	72.010	12.897	22.565	175.61	1.7690	23.686	0.0058211
28.500	7.3511	undefined	12.829	15.242	72.032	40.000	0.025000	12.829	15.242	72.032	12.895	22.558	175.77	1.7638	23.722	0.0058297	40.000	0.025000	12.829	15.242	72.032	12.895	22.558	175.77	1.7638	23.722	0.0058297
29.000	7.3642	undefined	12.836	15.253	72.053	40.000	0.025000	12.836	15.253	72.053	12.892	22.552	175.93	1.7587	23.757	0.0058382	40.000	0.025000	12.836	15.253	72.053	12.892	22.552	175.93	1.7587	23.757	0.0058382
29.500	7.3773	undefined	12.842	15.263	72.074	40.000	0.025000	12.842	15.263	72.074	12.890	22.545	176.09	1.7535	23.793	0.0058468	40.000	0.025000	12.842	15.263	72.074	12.890	22.545	176.09	1.7535	23.793	0.0058468
30.000	7.3905	undefined	12.848	15.274	72.096	40.000	0.025000	12.848	15.274	72.096	12.888	22.539	176.25	1.7484	23.829	0.0058554	40.000	0.025000	12.848	15.274	72.096	12.888	22.539	176.25	1.7484	23.829	0.0058554
